JLPT,Word,Reading,Meaning,Word Type
N5,違う,ちがう,to be different; to differ; wrong,Godan verb with 'u' ending
N5,近く,ちかく,nearby; in the neighborhood,Noun
N5,地下鉄,ちかてつ,"underground train, subway",Noun
N5,地図,ちず,a map,Noun
N5,父,ちち,(my) father,Noun
N5,茶色,ちゃいろ,brown,Noun
N5,茶碗,ちゃわん,rice bowl,Noun
N5,丁度,ちょうど,"just, right, exactly",Adverb (fukushi)
N5,ちょっと,ちょっと,"a little, somewhat; just a little, somewhat",Adverb (fukushi)
N5,一日,ついたち,one day; first day of the month,Noun
N5,使う,つかう,to use,Godan verb with 'u' ending
N5,疲れる,つかれる,to get (become) tired; to become fatigued,Ichidan verb
N5,次,つぎ,next,Noun
N5,着く,つく,"to arrive at, to reach",Godan verb with 'ku' ending
N5,机,つくえ,desk,Noun
N5,作る,つくる,"to make, to create",Godan verb with 'ru' ending
N5,つける,つける,"to turn on (e.g., a light); to take",Ichidan verb
N5,勤める,つとめる,to work (for),Ichidan verb
N5,つまらない,つまらない,"boring, dull; insignificant",I-adjective (keiyoushi)
N5,冷たい,つめたい,"cold (things, people)",I-adjective (keiyoushi)
N5,強い,つよい,"strong, powerful",I-adjective (keiyoushi)
N5,手,て,hand,Noun
N5,テープ,テープ,tape,Noun
N5,テープレコーダー,テープレコーダー,tape recorder,Noun
N5,テーブル,テーブル,table,Noun
N5,出かける,でかける,to go out; to depart,Ichidan verb
N5,手紙,てがみ,letter,Noun
N5,できる,できる,to be able to (to accomplish),Ichidan verb
N5,出口,でぐち,an exit,Noun
N5,テスト,テスト,test,Noun
N5,では,では,"then, well, so",Conjunction
N5,デパート,デパート,(abbr.) department store,Noun
N5,でも,でも,"but, however",Conjunction
N5,出る,でる,"to appear, to leave",Ichidan verb
N5,テレビ,テレビ,"television, TV",Noun
N5,天気,てんき,weather,Noun
N5,電気,でんき,"electricity, (electric) light",Noun
N5,電車,でんしゃ,electric train,Noun
N5,電話,でんわ,a telephone,Noun
N5,戸,と,door (Japanese style),Noun
N5,～度,～ど,counter for occurrences; ~ degree; ~ point,Noun
N5,ドア,ドア,door (Western style),Noun
N5,トイレ,トイレ,bathroom; toilet,Noun
N5,どう,どう,"how, in what way",Noun
N5,どうして,どうして,"why, for what reason",Adverb (fukushi)
N5,どうぞ,どうぞ,"please, kindly, by all means",Adverb (fukushi)
N5,動物,どうぶつ,animal,Noun
N5,どうも,どうも,Thank you; somehow,Adverb / Interjection
N5,十,(〜を) とお,ten (~),Numeric
N5,遠い,とおい,"far (away), distant",I-adjective (keiyoushi)
N5,十日,とおか,ten days; tenth day of the month,Noun
N5,時々,ときどき,sometimes,Adverb (fukushi)
N5,時計,とけい,a watch; a clock,Noun
N5,どこ,どこ,"where, what place",Pronoun
N5,所,ところ,place,Noun
N5,年,とし,"year, age",Noun
N5,図書館,としょかん,library,Noun
N5,どちら,どちら,which (one) (way); where (polite),Pronoun
N5,どっち,どっち,"which one, which way",Pronoun
N5,とても,とても,"very (much), greatly, exceedingly",Adverb (fukushi)
N5,どなた,どなた,who,Pronoun
N5,隣,となり,"next to, next door to",Noun which may take the genitive case particle 'no'
N5,どの,どの,which,Pre-noun adjectival (rentaishi)
N5,飛ぶ,とぶ,"to fly, to hop",Godan verb with 'bu' ending
N5,止まる,とまる,to come to a halt,Godan verb with 'ru' ending
N5,友達,ともだち,friend,Noun
N5,土曜日,どようび,Saturday,Noun
N5,鳥,とり,"chicken (lit., bird)",Noun
N5,鶏肉,とりにく,chicken meat,Noun
N5,取る,とる,to take (a class); to get (a grade),Godan verb with 'ru' ending
N5,撮る,とる,"to take (a photo), to make (a film)",Godan verb with 'ru' ending
N5,どれ,どれ,which one,Pronoun
N5,どんな,どんな,"what, what kind of",Pre-noun adjectival (rentaishi)
N5,ない,ない,"there isn't, doesn't have",I-adjective (keiyoushi)
N5,ナイフ,ナイフ,knife,Noun
N5,中,なか,"inside, middle, among",Noun
N5,長い,ながい,"long, lengthy",I-adjective (keiyoushi)
N5,鳴く,なく,to make sound (animal),Godan verb with 'ku' ending
N5,無くす,なくす,to lose something,Godan verb with 'su' ending
N5,なぜ,なぜ,why (same as どうして),Adverb (fukushi)
N5,夏,なつ,summer,Noun
N5,夏休み,なつやすみ,summer vacation,Noun
N5,七つ,ななつ,seven things,Numeric
N5,何,なん; なに,what,Pronoun
N5,七日,なのか,seven days; seventh day (of the month),Noun
N5,名前,なまえ,name,Noun
N5,習う,ならう,to learn,Godan verb with 'u' ending
N5,並ぶ,ならぶ,"to line up, to stand in a line (v.i.)",Godan verb with 'bu' ending
N5,並べる,ならべる,to put (things) side by side; to line up,Ichidan verb
N5,なる,なる,to become,Godan verb with 'ru' ending
N5,二,に,two,Numeric
N5,にぎやか,にぎやか,"bustling, busy",Na-adjective (keiyodoshi)
N5,肉,にく,meat,Noun
N5,西,にし,west,Noun
N5,～日,～にち,"~ day of the month, for ~ days",Noun
N5,日曜日,にちようび,Sunday,Noun
N5,荷物,にもつ,luggage; baggage,Noun
N5,ニュース,ニュース,news,Noun
N5,庭,にわ,garden,Noun
N5,～人,～にん,counter for people,Noun
N5,脱ぐ,ぬぐ,to take off (clothes),Godan verb with 'gu' ending
N5,温い,ぬるい,lukewarm,I-adjective (keiyoushi)
N5,ネクタイ,ネクタイ,"tie, necktie",Noun
N5,猫,ねこ,cat,Noun
N5,寝る,ねる,to sleep; to go to sleep; to go to bed,Ichidan verb
N5,～年,～ねん,~ years,Noun
N5,ノート,ノート,notebook,Noun
N5,登る,のぼる,to climb,Godan verb with 'ru' ending
